Epoch,Discriminator,Generator
1, 0.523, 0.831
2, 0.518, 0.846
3, 0.512, 0.877
4, 0.497, 0.848
5, 0.505, 0.863
6, 0.487, 0.878
7, 0.485, 0.881
8, 0.478, 0.877
9, 0.470, 0.883
10, 0.461, 0.922
11, 0.463, 0.907
12, 0.459, 0.905
13, 0.451, 0.893
14, 0.445, 0.930
15, 0.448, 0.947
16, 0.446, 0.948
17, 0.436, 0.953
18, 0.440, 0.962
19, 0.438, 0.945
20, 0.434, 0.938
21, 0.437, 0.952
22, 0.428, 0.959
23, 0.426, 0.991
24, 0.429, 0.969
25, 0.435, 0.941
26, 0.424, 0.915
27, 0.438, 0.952
28, 0.438, 0.958
29, 0.435, 0.974
30, 0.440, 0.942
31, 0.443, 0.930
32, 0.435, 0.943
33, 0.442, 0.920
34, 0.459, 0.919
35, 0.457, 0.859
36, 0.459, 0.909
37, 0.482, 0.827
38, 0.483, 0.856
39, 0.487, 0.837
40, 0.491, 0.822
41, 0.500, 0.837
42, 0.500, 0.812
43, 0.526, 0.772
44, 0.524, 0.771
45, 0.528, 0.764
46, 0.543, 0.755
47, 0.552, 0.757
48, 0.559, 0.716
49, 0.572, 0.713
50, 0.561, 0.680
51, 0.576, 0.663
52, 0.599, 0.704
53, 0.591, 0.652
54, 0.611, 0.669
55, 0.606, 0.640
56, 0.610, 0.649
57, 0.615, 0.642
58, 0.631, 0.640
59, 0.628, 0.639
60, 0.625, 0.627
61, 0.627, 0.610
62, 0.640, 0.623
63, 0.643, 0.632
64, 0.659, 0.602
65, 0.651, 0.629
66, 0.643, 0.620
67, 0.651, 0.648
68, 0.633, 0.629
69, 0.645, 0.643
70, 0.640, 0.626
71, 0.646, 0.659
72, 0.635, 0.638
73, 0.627, 0.651
74, 0.622, 0.668
75, 0.626, 0.647
76, 0.616, 0.659
77, 0.607, 0.681
78, 0.609, 0.676
79, 0.613, 0.707
80, 0.602, 0.717
81, 0.598, 0.738
82, 0.584, 0.746
83, 0.577, 0.747
84, 0.586, 0.779
85, 0.564, 0.780
86, 0.565, 0.798
87, 0.568, 0.804
88, 0.549, 0.821
89, 0.538, 0.840
90, 0.543, 0.872
91, 0.534, 0.854
92, 0.542, 0.881
93, 0.527, 0.898
94, 0.519, 0.927
95, 0.516, 0.916
96, 0.516, 0.913
97, 0.506, 0.935
98, 0.510, 0.920
99, 0.517, 0.942
100, 0.508, 0.928
101, 0.517, 0.914
102, 0.524, 0.935
103, 0.532, 0.923
104, 0.529, 0.907
105, 0.536, 0.876
106, 0.540, 0.915
107, 0.530, 0.896
108, 0.538, 0.916
109, 0.554, 0.908
110, 0.543, 0.874
111, 0.550, 0.913
112, 0.557, 0.925
113, 0.551, 0.897
114, 0.549, 0.945
115, 0.548, 0.928
116, 0.558, 0.986
117, 0.544, 1.027
118, 0.540, 1.047
119, 0.535, 1.016
120, 0.532, 1.096
121, 0.519, 1.093
122, 0.517, 1.103
123, 0.508, 1.120
124, 0.507, 1.209
125, 0.516, 1.168
126, 0.495, 1.206
127, 0.513, 1.159
128, 0.525, 1.243
129, 0.526, 1.187
130, 0.517, 1.221
131, 0.528, 1.262
132, 0.535, 1.274
133, 0.544, 1.274
134, 0.530, 1.229
135, 0.535, 1.243
136, 0.531, 1.284
137, 0.552, 1.248
138, 0.561, 1.190
139, 0.578, 1.182
140, 0.568, 1.108
141, 0.586, 1.193
142, 0.579, 1.097
143, 0.585, 1.105
144, 0.600, 1.094
145, 0.592, 1.028
146, 0.602, 1.049
147, 0.601, 1.007
148, 0.586, 1.044
149, 0.589, 1.036
150, 0.583, 1.017
151, 0.585, 1.012
152, 0.582, 1.036
153, 0.566, 1.034
154, 0.537, 1.119
155, 0.563, 1.044
156, 0.562, 1.086
157, 0.552, 1.121
158, 0.545, 1.152
159, 0.536, 1.149
160, 0.519, 1.164
161, 0.543, 1.175
162, 0.549, 1.175
163, 0.553, 1.237
164, 0.494, 1.232
165, 0.521, 1.215
166, 0.473, 1.223
167, 0.496, 1.262
168, 0.492, 1.239
169, 0.490, 1.298
170, 0.477, 1.314
171, 0.499, 1.339
172, 0.453, 1.341
173, 0.486, 1.381
174, 0.445, 1.460
175, 0.452, 1.428
176, 0.448, 1.456
177, 0.442, 1.477
178, 0.401, 1.441
179, 0.407, 1.541
180, 0.429, 1.526
181, 0.376, 1.534
182, 0.403, 1.561
183, 0.381, 1.515
184, 0.375, 1.573
185, 0.344, 1.530
186, 0.340, 1.640
187, 0.351, 1.611
188, 0.338, 1.638
189, 0.325, 1.665
190, 0.332, 1.619
191, 0.321, 1.623
192, 0.326, 1.658
193, 0.316, 1.657
194, 0.318, 1.678
195, 0.320, 1.736
196, 0.323, 1.656
197, 0.322, 1.707
198, 0.332, 1.747
199, 0.327, 1.657
200, 0.334, 1.682